,datum,Country,te laat,afstand,ISO 3166 Country Code,Latitude,Longitude,uur,minuut,seconde
137,Lente,Thailand,orange,9198650.586749937,TH,15.0,100.0,10.220722874166597,13.243372449995826,14.60234699974954
138,Lente,Tunisia,orange,1353807.2309942802,TN,34.0,9.0,1.5042302566603114,30.25381539961868,15.228923977120779
139,Lente,Turkey,orange,2037410.0777657318,TR,39.0,35.0,2.263788975295258,15.827338517715456,49.64031106292736
140,Lente,Ukraine,orange,1646960.6784359748,UA,49.0,32.0,1.8299563093733053,49.797378562398315,47.84271374389902
141,Lente,United Arab Emirates,green,4778775.273611671,AE,24.0,54.0,5.309750304012968,18.585018240778087,35.10109444668517
142,Lente,United Kingdom,green,973287.8733495864,GB,54.0,-2.0,1.0814309703884293,4.885858223305759,53.15149339834554
143,Lente,United States,orange,7834137.571939665,US,38.0,-97.0,8.704597302155182,42.27583812931099,16.55028775865957
144,Lente,Vietnam,red,9732263.866254238,VN,16.0,106.0,10.813626518060264,48.817591083615895,49.05546501695365
145,Winter,Argentina,green,11298004.45794462,AR,-34.0,-64.0,12.553338286605134,33.20029719630803,12.017831778481602
146,Winter,Austria,green,488686.7493221655,AT,47.33,13.33,0.5429852770246283,32.5791166214777,34.74699728866201
147,Winter,Belgium,green,483467.91151865025,BE,50.83,4.0,0.5371865683540559,32.23119410124335,13.871646074600983
148,Winter,Bosnia and Herzegovina,red,859087.1139888838,BA,44.0,18.0,0.9545412377654264,57.27247426592559,16.348455955535172
149,Winter,Brazil,orange,9468399.434676252,BR,-10.0,-55.0,10.520443816306948,31.22662897841682,13.597738705009222
150,Winter,Bulgaria,green,1481705.6081898226,BG,43.0,25.0,1.6463395646553585,38.78037387932151,46.822432759290564
151,Winter,Canada,orange,7242794.941195089,CA,60.0,-95.0,8.04754993466121,2.8529960796726246,51.17976478035748
152,Winter,China,green,8563324.004993368,CN,35.0,105.0,9.514804449992631,30.888266999557864,53.29601997347176
153,Winter,Costa Rica,green,9404282.310312688,CR,10.0,-84.0,10.449202567014098,26.95215402084589,57.1292412507534
154,Winter,Croatia,green,704895.3891906394,HR,45.17,15.5,0.7832170991007104,46.99302594604262,59.581556762557476
155,Winter,Cuba,orange,8193876.774654916,CU,21.5,-80.0,9.10430752739435,6.258451643661037,15.507098619662225
156,Winter,Cyprus,orange,2475786.283874824,CY,35.0,33.0,2.7508736487498044,45.05241892498828,3.14513549929671
157,Winter,Denmark,green,955088.9115066222,DK,56.0,10.0,1.0612099016740246,3.672594100441481,40.355646026488856
158,Winter,Dominican Republic,orange,7535250.38419614,DO,19.0,-70.67,8.3725004268846,22.350025613075992,21.001536784559487
159,Winter,Egypt,green,3086053.3544363775,EG,27.0,30.0,3.428948171595975,25.736890295758503,44.213417745510114
160,Winter,Ethiopia,green,5131802.720423977,ET,8.0,38.0,5.702003022693308,42.12018136159846,7.210881695907563
161,Winter,Finland,orange,2133432.893956224,FI,64.0,26.0,2.3704809932846933,22.2288595970816,13.731575824895874
162,Winter,France,green,547807.3580517638,FR,46.0,2.0,0.6086748422797376,36.52049053678426,31.22943220705539
163,Winter,Germany,green,514583.96355453366,DE,51.0,9.0,0.5717599595050374,34.30559757030225,18.335854218134656
164,Winter,Greece,green,1696215.466557723,GR,39.0,22.0,1.8846838517308033,53.0810311038482,4.8618662308920175
165,Winter,Hong Kong,green,9295880.72073311,HK,22.25,114.17,10.328756356370121,19.725381382207324,43.522882932439444
166,Winter,Hungary,green,895252.9865108244,HU,47.0,20.0,0.9947255405675827,59.68353243405496,41.01194604329765
167,Winter,Iceland,orange,2522813.836836871,IS,65.0,-18.0,2.8031264853743014,48.18758912245808,11.255347347484902
168,Winter,India,orange,6538556.165534215,IN,20.0,77.0,7.265062406149128,15.90374436894767,54.22466213686019
169,Winter,Ireland,green,1279789.6051396641,IE,53.0,-8.0,1.4219884501551823,25.319307009310943,19.158420558656566
170,Winter,Israel,green,2897328.4501050017,IL,31.5,34.75,3.219253833450002,13.155230007000112,9.313800420006737
171,Winter,Italy,green,722834.2649878281,IT,42.83,12.83,0.803149183319809,48.18895099918854,11.337059951312375
172,Winter,Japan,orange,9557975.818554454,JP,36.0,138.0,10.619973131727171,37.198387903630234,11.903274217814207
173,Winter,Jordan,orange,2908799.77707359,JO,31.0,36.0,3.231999752303989,13.919985138239339,55.19910829436034
174,Winter,Kenya,green,6068289.6625828,KE,1.0,38.0,6.742544069536444,44.55264417218665,33.15865033119917
175,Winter,Latvia,green,1483410.208075181,LV,57.0,25.0,1.648233564527979,38.894013871678744,53.64083230072446
176,Winter,Lebanon,green,2714411.894743943,LB,33.83,35.83,3.016013216382159,0.9607929829295414,57.64757897577248
177,Winter,Luxembourg,green,295929.1877591087,LU,49.75,6.17,0.3288102086212319,19.728612517273916,43.7167510364349
178,Winter,Macedonia,green,1197848.0930531668,MK,41.83,22.0,1.3309423256146298,19.856539536877783,51.39237221266702
179,Winter,Maldives,red,7802501.030330504,MV,3.25,73.0,8.669445589256116,40.16673535536695,10.004121322017163
180,Winter,Malta,orange,1379443.389275949,MT,35.83,14.58,1.5327148769732766,31.962892618396598,57.77355710379593
181,Winter,Mauritius,green,8979741.05680707,MU,-20.28,57.55,9.977490063118966,58.64940378713794,38.96422722827643
182,Winter,Mexico,orange,8707216.499340693,MX,23.0,-102.0,9.674684999267436,40.48109995604617,28.86599736277014
183,Winter,Montenegro,green,1016500.2164712584,ME,42.0,19.0,1.1294446849680648,7.766681098083896,46.00086588503374
184,Winter,Morocco,green,2284474.1004361496,MA,32.0,-5.0,2.5383045560401665,32.29827336240997,17.896401744598524
185,Winter,Netherlands,green,565524.7294574515,NL,52.5,5.75,0.6283608105082794,37.70164863049677,42.098917829805984
186,Winter,Norway,green,2213079.4140940434,NO,62.0,10.0,2.4589771267711593,27.53862760626956,32.31765637617372
187,Winter,Oman,green,5114292.547121781,OM,21.0,57.0,5.682547274579757,40.95283647478539,57.170188487123696
188,Winter,Poland,green,904481.9632996817,PL,52.0,20.0,1.0049799592218684,0.29879755331211105,17.927853198726662
189,Winter,Portugal,orange,1933457.8025280088,PT,39.5,-8.0,2.148286447253343,8.897186835200587,53.83121011203527
190,Winter,Qatar,green,4497246.51998999,QA,25.5,51.25,4.996940577766655,59.81643466599931,48.98607995995879
191,Winter,Romania,green,1486218.7861853132,RO,46.0,25.0,1.6513542068725702,39.08125241235422,4.8751447412529965
192,Winter,Saudi Arabia,green,3960123.8357313485,SA,25.0,45.0,4.400137595257054,24.008255715423232,0.4953429253939539
193,Winter,Serbia,green,1070896.2742800813,RS,44.0,21.0,1.1898847492000904,11.393084952005418,23.58509712032508
194,Winter,Seychelles,green,7375352.659785434,SC,-4.58,55.67,8.194836288650482,11.690177319028912,41.41063914173469
195,Winter,Singapore,green,10309661.663657624,SG,1.37,103.8,11.455179626286249,27.310777577174953,18.6466546304971
196,Winter,Slovenia,green,471180.2152196908,SI,46.0,15.0,0.5235335724663231,31.412014347979387,24.720860878763254
197,Winter,South Africa,green,8730961.99612097,ZA,-29.0,24.0,9.701068884578856,42.06413307473138,3.847984483882785
198,Winter,Spain,green,1724914.0655481298,ES,40.0,-4.0,1.9165711839423665,54.99427103654199,59.65626219251938
199,Winter,Sri Lanka,green,8023066.298915476,LK,7.0,81.0,8.914518109906084,54.87108659436504,52.265195661902425
200,Winter,Sweden,green,1325293.2118673858,SE,62.0,15.0,1.4725480131859843,28.352880791159052,21.172847469543107
201,Winter,Switzerland,green,123177.70175402104,CH,47.0,8.0,0.13686411306002338,8.211846783601402,12.710807016084145
202,Winter,Tajikistan,green,4886737.181890151,TJ,39.0,71.0,5.429707979877946,25.782478792676763,46.94872756060585
203,Winter,Thailand,green,9198650.58674994,TH,15.0,100.0,10.220722874166599,13.24337244999595,14.602346999756993
204,Winter,Tunisia,red,1353807.2309942802,TN,34.0,9.0,1.5042302566603114,30.25381539961868,15.228923977120779
205,Winter,Turkey,green,2037410.0777657318,TR,39.0,35.0,2.263788975295258,15.827338517715456,49.64031106292736
206,Winter,Ukraine,green,1646960.6784359748,UA,49.0,32.0,1.8299563093733053,49.797378562398315,47.84271374389902
207,Winter,United Arab Emirates,green,4778775.27361167,AE,24.0,54.0,5.309750304012967,18.585018240778023,35.10109444668144
208,Winter,United Kingdom,green,973287.8733495863,GB,54.0,-2.0,1.0814309703884293,4.8858582233057515,53.151493398345075
209,Winter,United States,green,7834137.571939665,US,38.0,-97.0,8.704597302155182,42.27583812931099,16.55028775865957
210,Winter,Vietnam,orange,9732263.866254238,VN,16.0,106.0,10.813626518060264,48.817591083615895,49.05546501695365
211,Zomer,Albania,green,1113039.6001869675,AL,41.0,20.0,1.2367106668744083,14.202640012464501,12.158400747870095
212,Zomer,Algeria,green,1274685.7038671384,DZ,28.0,3.0,1.4163174487412649,24.97904692447589,58.74281546855345
213,Zomer,Argentina,orange,11298004.45794462,AR,-34.0,-64.0,12.553338286605134,33.20029719630803,12.017831778481602
214,Zomer,Austria,orange,488686.74932216556,AT,47.33,13.33,0.5429852770246284,32.5791166214777,34.74699728866224
215,Zomer,Belgium,orange,483467.9115186502,BE,50.83,4.0,0.5371865683540558,32.23119410124335,13.87164607460075
216,Zomer,Bosnia and Herzegovina,orange,859087.1139888838,BA,44.0,18.0,0.9545412377654264,57.27247426592559,16.348455955535172
217,Zomer,Brazil,orange,9468399.434676254,BR,-10.0,-55.0,10.52044381630695,31.226628978416944,13.597738705016672
218,Zomer,Bulgaria,orange,1481705.6081898226,BG,43.0,25.0,1.6463395646553585,38.78037387932151,46.822432759290564
219,Zomer,Canada,orange,7242794.941195089,CA,60.0,-95.0,8.04754993466121,2.8529960796726246,51.17976478035748
220,Zomer,China,green,8563324.004993368,CN,35.0,105.0,9.514804449992631,30.888266999557864,53.29601997347176
221,Zomer,Costa Rica,orange,9404282.310312688,CR,10.0,-84.0,10.449202567014098,26.95215402084589,57.1292412507534
222,Zomer,Croatia,green,704895.3891906394,HR,45.17,15.5,0.7832170991007104,46.99302594604262,59.581556762557476
223,Zomer,Cuba,orange,8193876.774654915,CU,21.5,-80.0,9.104307527394349,6.258451643660975,15.5070986196585
224,Zomer,Cyprus,green,2475786.283874824,CY,35.0,33.0,2.7508736487498044,45.05241892498828,3.14513549929671
225,Zomer,Denmark,green,955088.9115066222,DK,56.0,10.0,1.0612099016740246,3.672594100441481,40.355646026488856
226,Zomer,Dominican Republic,orange,7535250.38419614,DO,19.0,-70.67,8.3725004268846,22.350025613075992,21.001536784559487
227,Zomer,Egypt,green,3086053.354436378,EG,27.0,30.0,3.4289481715959758,25.73689029575853,44.213417745511975
228,Zomer,Finland,green,2133432.893956224,FI,64.0,26.0,2.3704809932846933,22.2288595970816,13.731575824895874
229,Zomer,France,orange,547807.3580517638,FR,46.0,2.0,0.6086748422797376,36.52049053678426,31.22943220705539
230,Zomer,Germany,orange,514583.96355453366,DE,51.0,9.0,0.5717599595050374,34.30559757030225,18.335854218134656
231,Zomer,Greece,orange,1696215.466557723,GR,39.0,22.0,1.8846838517308033,53.0810311038482,4.8618662308920175
232,Zomer,Hong Kong,orange,9295880.72073311,HK,22.25,114.17,10.328756356370121,19.725381382207324,43.522882932439444
233,Zomer,Hungary,orange,895252.9865108244,HU,47.0,20.0,0.9947255405675827,59.68353243405496,41.01194604329765
234,Zomer,Iceland,orange,2522813.8368368717,IS,65.0,-18.0,2.803126485374302,48.187589122458114,11.255347347486763
235,Zomer,India,orange,6538556.165534215,IN,20.0,77.0,7.265062406149128,15.90374436894767,54.22466213686019
236,Zomer,Ireland,orange,1279789.6051396641,IE,53.0,-8.0,1.4219884501551823,25.319307009310943,19.158420558656566
237,Zomer,Israel,orange,2897328.450105001,IL,31.5,34.75,3.219253833450001,13.155230007000082,9.313800420004874
238,Zomer,Italy,orange,722834.2649878281,IT,42.83,12.83,0.803149183319809,48.18895099918854,11.337059951312375
239,Zomer,Japan,green,9557975.818554452,JP,36.0,138.0,10.619973131727168,37.19838790363011,11.903274217806757
240,Zomer,Jordan,orange,2908799.77707359,JO,31.0,36.0,3.231999752303989,13.919985138239339,55.19910829436034
241,Zomer,Kenya,green,6068289.662582799,KE,1.0,38.0,6.742544069536443,44.55264417218659,33.158650331195446
242,Zomer,Latvia,orange,1483410.208075181,LV,57.0,25.0,1.648233564527979,38.894013871678744,53.64083230072446
243,Zomer,Lebanon,orange,2714411.894743943,LB,33.83,35.83,3.016013216382159,0.9607929829295414,57.64757897577248
244,Zomer,Luxembourg,orange,295929.1877591087,LU,49.75,6.17,0.3288102086212319,19.728612517273916,43.7167510364349
245,Zomer,Macedonia,orange,1197848.0930531668,MK,41.83,22.0,1.3309423256146298,19.856539536877783,51.39237221266702
246,Zomer,Malta,orange,1379443.389275949,MT,35.83,14.58,1.5327148769732766,31.962892618396598,57.77355710379593
247,Zomer,Mauritius,green,8979741.05680707,MU,-20.28,57.55,9.977490063118966,58.64940378713794,38.96422722827643
248,Zomer,Mexico,orange,8707216.499340693,MX,23.0,-102.0,9.674684999267436,40.48109995604617,28.86599736277014
249,Zomer,Montenegro,orange,1016500.2164712584,ME,42.0,19.0,1.1294446849680648,7.766681098083896,46.00086588503374
250,Zomer,Morocco,orange,2284474.1004361496,MA,32.0,-5.0,2.5383045560401665,32.29827336240997,17.896401744598524
251,Zomer,Netherlands,orange,565524.7294574515,NL,52.5,5.75,0.6283608105082794,37.70164863049677,42.098917829805984
252,Zomer,Norway,orange,2213079.414094044,NO,62.0,10.0,2.4589771267711598,27.538627606269593,32.317656376175584
253,Zomer,Oman,green,5114292.547121781,OM,21.0,57.0,5.682547274579757,40.95283647478539,57.170188487123696
254,Zomer,Poland,orange,904481.9632996817,PL,52.0,20.0,1.0049799592218684,0.29879755331211105,17.927853198726662
255,Zomer,Portugal,orange,1933457.8025280088,PT,39.5,-8.0,2.148286447253343,8.897186835200587,53.83121011203527
256,Zomer,Qatar,green,4497246.51998999,QA,25.5,51.25,4.996940577766655,59.81643466599931,48.98607995995879
257,Zomer,Romania,orange,1486218.7861853132,RO,46.0,25.0,1.6513542068725702,39.08125241235422,4.8751447412529965
258,Zomer,Saudi Arabia,red,3960123.835731349,SA,25.0,45.0,4.400137595257054,24.008255715423264,0.4953429253958166
259,Zomer,Serbia,orange,1070896.2742800813,RS,44.0,21.0,1.1898847492000904,11.393084952005418,23.58509712032508
260,Zomer,Seychelles,orange,7375352.659785436,SC,-4.58,55.67,8.194836288650484,11.690177319029036,41.41063914174214
261,Zomer,Singapore,orange,10309661.663657624,SG,1.37,103.8,11.455179626286249,27.310777577174953,18.6466546304971
262,Zomer,Slovenia,orange,471180.2152196908,SI,46.0,15.0,0.5235335724663231,31.412014347979387,24.720860878763254
263,Zomer,South Africa,green,8730961.996120969,ZA,-29.0,24.0,9.701068884578854,42.06413307473125,3.8479844838753343
264,Zomer,Spain,orange,1724914.06554813,ES,40.0,-4.0,1.9165711839423667,54.994271036542,59.656262192520316
265,Zomer,Sweden,orange,1325293.2118673858,SE,62.0,15.0,1.4725480131859843,28.352880791159052,21.172847469543107
266,Zomer,Switzerland,orange,123177.70175402104,CH,47.0,8.0,0.13686411306002338,8.211846783601402,12.710807016084145
267,Zomer,Thailand,orange,9198650.586749937,TH,15.0,100.0,10.220722874166597,13.243372449995826,14.60234699974954
268,Zomer,Tunisia,orange,1353807.2309942802,TN,34.0,9.0,1.5042302566603114,30.25381539961868,15.228923977120779
269,Zomer,Turkey,orange,2037410.0777657316,TR,39.0,35.0,2.2637889752952574,15.827338517715441,49.64031106292643
270,Zomer,Ukraine,orange,1646960.6784359748,UA,49.0,32.0,1.8299563093733053,49.797378562398315,47.84271374389902
271,Zomer,United Arab Emirates,green,4778775.273611671,AE,24.0,54.0,5.309750304012968,18.585018240778087,35.10109444668517
272,Zomer,United Kingdom,orange,973287.8733495864,GB,54.0,-2.0,1.0814309703884293,4.885858223305759,53.15149339834554
273,Zomer,United States,orange,7834137.571939665,US,38.0,-97.0,8.704597302155182,42.27583812931099,16.55028775865957
